3		640993		1028603		2.9950		1.6020		1.60
3.5		713478		1398165		2.4493		1.3713		1.37
4		785964		1767727		2.0657		1.1615		1.16
4.5		875182		2225208		1.8175		1.0269		1.03
5		964401		2682690		1.6222		0.9025		0.90
5.5		1068710		3237698		1.4857		0.8184		0.82
6		1173018		3792707		1.3702		0.7384		0.74
6.5		1274206		4416332		1.2682		0.6763		0.68
7		1375393		5039957		1.1804		0.6179		0.62
7.5		1468333		5889953		1.0977		0.5871		0.59
8		1561273		6739948		1.0259		0.5536		0.55
8.5		1644129		7755496		0.9570		0.5311		0.53
9		1726985		8771043		0.8966		0.5060		0.51
9.5		1772463		9905680		0.8259		0.4859		0.49
10		1817942		11040317		0.7645		0.4643		0.46
10.5		1825341		11967798		0.6962		0.4347		0.43
11		1832740		12895280		0.6370		0.4074		0.41
11.5		1796243		13340757		0.5712		0.3689		0.37
12		1759745		13786233		0.5139		0.3355		0.34
12.5		1704015		14065357		0.4586		0.3028		0.30
13		1648284		14344480		0.4101		0.2746		0.27
13.5		1600904		14433048		0.3694		0.2467		0.25
14		1553523		14521617		0.3333		0.2225		0.22
14.5		1513553		14570475		0.3027		0.2010		0.20
15		1473583		14619333		0.2754		0.1822		0.18
15.5		1442040		14647107		0.2524		0.1654		0.17
16		1410496		14674880		0.2317		0.1507		0.15
16.5		1384051		14683557		0.2138		0.1375		0.14
17		1357607		14692233		0.1975		0.1258		0.13
17.5		1335099		14684697		0.1833		0.1152		0.12
18		1312592		14677160		0.1704		0.1058		0.11
18.5		1292419		14681855		0.1588		0.0975		0.10
19		1272247		14686550		0.1482		0.0900		0.09
19.5		1254938		14697817		0.1388		0.0834		0.08
20		1237630		14709083		0.1301		0.0773		0.08
20.5		1223053		14703883		0.1224		0.0718		0.07
21		1208475		14698683		0.1152		0.0667		0.07
21.5		1194947		14696983		0.1087		0.0622		0.06
22		1181418		14695283		0.1026		0.0580		0.06
22.5		1170191		14699452		0.0972		0.0543		0.05
23		1158964		14703620		0.0921		0.0508		0.05
23.5		1147582		14700190		0.0874		0.0476		0.05
24		1136200		14696760		0.0830		0.0447		0.04
24.5		1128240		14702580		0.0790		0.0420		0.04
25		1120280		14708400		0.0754		0.0396		0.04
