Attack(degree)  Cl     Cd      Cm
 -180.00     0.0000   0.0202   0.0000
 -175.00     0.3680   0.0324   0.1845
 -170.00     0.7350   0.0943   0.3701
 -160.00     0.6950   0.2848   0.2679
 -155.00     0.7770   0.4001   0.3046
 -150.00     0.8280   0.5215   0.3329
 -145.00     0.8500   0.6447   0.3540
 -140.00     0.8460   0.7660   0.3693
 -135.00     0.8180   0.8823   0.3794
 -130.00     0.7710   0.9911   0.3854
 -125.00     0.7050   1.0905   0.3878
 -120.00     0.6240   1.1787   0.3872
 -115.00     0.5300   1.2545   0.3841
 -110.00     0.4260   1.3168   0.3788
 -105.00     0.3140   1.3650   0.3716
 -100.00     0.1950   1.3984   0.3629
  -95.00     0.0730   1.4169   0.3529
  -90.00    -0.0500   1.4201   0.3416
  -85.00    -0.1730   1.4081   0.3292
  -80.00    -0.2940   1.3811   0.3159
  -75.00    -0.4090   1.3394   0.3017
  -70.00    -0.5180   1.2833   0.2866
  -65.00    -0.6170   1.2138   0.2707
  -60.00    -0.7060   1.1315   0.2539
  -55.00    -0.7800   1.0378   0.2364
  -50.00    -0.8390   0.9341   0.2181
  -45.00    -0.8790   0.8221   0.1991
  -40.00    -0.8980   0.7042   0.1792
  -35.00    -0.8930   0.5829   0.1587
  -30.00    -0.8620   0.4616   0.1374
  -25.00    -0.8030   0.3441   0.1154
  -24.00    -0.7920   0.3209   0.1101
  -23.00    -0.7890   0.2972   0.1031
  -22.00    -0.7920   0.2730   0.0947
  -21.00    -0.8010   0.2485   0.0849
  -20.00    -0.8150   0.2237   0.0739
  -19.00    -0.8330   0.1990   0.0618
  -18.00    -0.8540   0.1743   0.0488
  -17.00    -0.8790   0.1498   0.0351
  -16.00    -0.9050   0.1256   0.0208
  -15.00    -0.9320   0.1020   0.0060
  -14.00    -0.9590   0.0789  -0.0091
  -13.00    -0.9850   0.0567  -0.0243
  -13.00    -0.9850   0.0567  -0.0243
  -12.01    -0.9530   0.0271  -0.0349
  -11.00    -0.9000   0.0303  -0.0361
   -9.98    -0.8270   0.0287  -0.0464
   -8.98    -0.7530   0.0271  -0.0534
   -8.47    -0.6910   0.0264  -0.0650
   -7.45    -0.5550   0.0114  -0.0782
   -6.42    -0.4130   0.0094  -0.0904
   -5.40    -0.2710   0.0086  -0.1006
   -5.00    -0.2200   0.0073  -0.1107
   -4.50    -0.1520   0.0071  -0.1135
   -4.00    -0.0840   0.0070  -0.1162
   -3.50    -0.0180   0.0069  -0.1186
   -3.00     0.0490   0.0068  -0.1209
   -2.50     0.1150   0.0068  -0.1231
   -2.00     0.1810   0.0068  -0.1252
   -1.50     0.2470   0.0067  -0.1272
   -1.00     0.3120   0.0067  -0.1293
   -0.50     0.3770   0.0067  -0.1311
    0.00     0.4440   0.0065  -0.1330
    0.50     0.5080   0.0065  -0.1347
    1.00     0.5730   0.0066  -0.1364
    1.50     0.6360   0.0067  -0.1380
    2.00     0.7010   0.0068  -0.1396
    2.50     0.7650   0.0069  -0.1411
    3.00     0.8270   0.0070  -0.1424
