Attack(degree)  Cl     Cd      Cm
 -180.00     0.0000   0.0198   0.0000
 -175.00     0.3740   0.0341   0.1880
 -170.00     0.7490   0.0955   0.3770
 -160.00     0.6590   0.2807   0.2747
 -155.00     0.7360   0.3919   0.3130
 -150.00     0.7830   0.5086   0.3428
 -145.00     0.8030   0.6267   0.3654
 -140.00     0.7980   0.7427   0.3820
 -135.00     0.7710   0.8537   0.3935
 -130.00     0.7240   0.9574   0.4007
 -125.00     0.6600   1.0519   0.4042
 -120.00     0.5810   1.1355   0.4047
 -115.00     0.4910   1.2070   0.4025
 -110.00     0.3900   1.2656   0.3981
 -105.00     0.2820   1.3104   0.3918
 -100.00     0.1690   1.3410   0.3838
  -95.00     0.0520   1.3572   0.3743
  -90.00    -0.0670   1.3587   0.3636
  -85.00    -0.1840   1.3456   0.3517
  -80.00    -0.2990   1.3181   0.3388
  -75.00    -0.4090   1.2765   0.3248
  -70.00    -0.5120   1.2212   0.3099
  -65.00    -0.6060   1.1532   0.2940
  -60.00    -0.6890   1.0731   0.2772
  -55.00    -0.7590   0.9822   0.2595
  -50.00    -0.8140   0.8820   0.2409
  -45.00    -0.8500   0.7742   0.2212
  -40.00    -0.8660   0.6610   0.2006
  -35.00    -0.8600   0.5451   0.1789
  -30.00    -0.8290   0.4295   0.1563
  -25.00    -0.8530   0.3071   0.1156
  -24.00    -0.8700   0.2814   0.1040
  -23.00    -0.8900   0.2556   0.0916
  -22.00    -0.9110   0.2297   0.0785
  -21.00    -0.9340   0.2040   0.0649
  -20.00    -0.9580   0.1785   0.0508
  -19.00    -0.9820   0.1534   0.0364
  -18.00    -1.0050   0.1288   0.0218
  -17.00    -1.0820   0.1037   0.0129
  -16.00    -1.1130   0.0786  -0.0028
  -15.00    -1.1050   0.0535  -0.0251
  -14.00    -1.0780   0.0283  -0.0419
  -13.50    -1.0530   0.0158  -0.0521
  -13.00    -1.0150   0.0151  -0.0610
  -12.00    -0.9040   0.0134  -0.0707
  -11.00    -0.8070   0.0121  -0.0722
  -10.00    -0.7110   0.0111  -0.0734
   -9.00    -0.5950   0.0099  -0.0772
   -8.00    -0.4780   0.0091  -0.0807
   -7.00    -0.3750   0.0086  -0.0825
   -6.00    -0.2640   0.0082  -0.0832
   -5.00    -0.1510   0.0079  -0.0841
   -4.00    -0.0170   0.0072  -0.0869
   -3.00     0.0880   0.0064  -0.0912
   -2.00     0.2130   0.0054  -0.0946
   -1.00     0.3280   0.0052  -0.0971
    0.00     0.4420   0.0052  -0.1014
    1.00     0.5560   0.0052  -0.1076
    2.00     0.6700   0.0053  -0.1126
    3.00     0.7840   0.0053  -0.1157
    4.00     0.8980   0.0054  -0.1199
    5.00     1.0110   0.0058  -0.1240
    6.00     1.1030   0.0091  -0.1234
    7.00     1.1810   0.0113  -0.1184
    8.00     1.2570   0.0124  -0.1163
    8.50     1.2930   0.0130  -0.1163
    9.00     1.3260   0.0136  -0.1160
    9.50     1.3560   0.0143  -0.1154
   10.00     1.3820   0.0150  -0.1149
   10.50     1.4000   0.0267  -0.1145
   11.00     1.4150   0.0383  -0.1143
   11.50     1.4250   0.0498  -0.1147
   12.00     1.4340   0.0613  -0.1158
   12.50     1.4430   0.0727  -0.1165
   13.00     1.4510   0.0841  -0.1153
   13.50     1.4530   0.0954  -0.1131
   14.00     1.4480   0.1065  -0.1112
   14.50     1.4440   0.1176  -0.1101
   15.00     1.4450   0.1287  -0.1103
   15.50     1.4470   0.1398  -0.1109
   16.00     1.4480   0.1509  -0.1114
   16.50     1.4440   0.1619  -0.1111
   17.00     1.4380   0.1728  -0.1097
   17.50     1.4390   0.1837  -0.1079
   18.00     1.4480   0.1947  -0.1080
   18.50     1.4520   0.2057  -0.1090
   19.00     1.4480   0.2165  -0.1086
   19.50     1.4380   0.2272  -0.1077
   20.00     1.4280   0.2379  -0.1099
   21.00     1.4010   0.2590  -0.1169
   22.00     1.3590   0.2799  -0.1190
   23.00     1.3000   0.3004  -0.1235
   24.00     1.2200   0.3204  -0.1393
   25.00     1.1680   0.3377  -0.1440
   26.00     1.1160   0.3554  -0.1486
   28.00     1.0150   0.3916  -0.1577
   30.00     0.9260   0.4294  -0.1668
   32.00     0.8550   0.4690  -0.1759
   35.00     0.8000   0.5324  -0.1897
   40.00     0.8040   0.6452  -0.2126
   45.00     0.7930   0.7573  -0.2344
   50.00     0.7630   0.8664  -0.2553
   55.00     0.7170   0.9708  -0.2751
   60.00     0.6560   1.0693  -0.2939
   65.00     0.5820   1.1606  -0.3117
   70.00     0.4950   1.2438  -0.3285
   75.00     0.3980   1.3178  -0.3444
   80.00     0.2910   1.3809  -0.3593
   85.00     0.1760   1.4304  -0.3731
   90.00     0.0530   1.4565  -0.3858
   95.00    -0.0740   1.4533  -0.3973
  100.00    -0.1990   1.4345  -0.4075
  105.00    -0.3210   1.4004  -0.4162
  110.00    -0.4360   1.3512  -0.4231
  115.00    -0.5430   1.2874  -0.4280
  120.00    -0.6400   1.2099  -0.4306
  125.00    -0.7230   1.1196  -0.4304
  130.00    -0.7900   1.0179  -0.4270
  135.00    -0.8400   0.9064  -0.4196
  140.00    -0.8680   0.7871  -0.4077
  145.00    -0.8720   0.6627  -0.3903
  150.00    -0.8500   0.5363  -0.3665
  155.00    -0.7980   0.4116  -0.3349
  160.00    -0.7140   0.2931  -0.2942
  170.00    -0.7490   0.0971  -0.3771
  175.00    -0.3740   0.0334  -0.1879
  180.00     0.0000   0.0198   0.0000
